id,kit_id,customer_name
1,28,Sandra
2,14,Emily
3,9,Kenneth
4,16,Ashley
5,12,Steven
6,5,Daniel
7,26,Anthony
8,37,Margaret
9,31,Michelle
10,33,George
11,34,Kevin
12,35,Nancy
13,36,Deborah
14,22,Amanda
15,24,Joshua
16,3,Betty
17,4,Melissa
18,11,Matthew
19,17,Karen
20,18,Sarah
21,23,Jessica
22,27,Susan
23,38,Barbara
24,21,Elizabeth
25,25,Linda
26,8,Jennifer
27,1,Patricia
28,32,Mary
29,30,Sharon
30,19,Emma
31,15,Jacob
32,29,Cynthia
33,20,Laura
34,6,Jason
35,7,Ryan
36,10,Nicholas
37,2,Edward
38,13,Ronald
39,39,Shirley
